bangumiTitle	aliasJp	aliasSearch
激战！弹珠人 第一季		クロスファイト ビーダマン
激战！弹珠人 第二季		クロスファイト ビーダマン
TARI TARI		TARITARI
女子落	じょしらく	女子落,少女落语家,じょしらく
恋爱与选举与巧克力	恋と選挙とチョコレート	恋と选挙とチョコレート,KOICHOCO,恋爱选举巧克力
夏雪密会	夏雪ランデブー	夏雪ランデブー,夏雪密会
薄樱鬼	薄桜鬼	薄樱鬼,薄桜鬼
薄樱鬼 第二季		
薄樱鬼 黎明录	薄桜鬼 黎明録	薄樱鬼 黎明录,薄桜鬼 黎明録
薄樱鬼 雪华录	薄桜鬼 雪華録	薄桜鬼 雪華録,薄樱鬼 雪华录
薄樱鬼 番外		
魔力家族	アルカナ・ファミリア -La storia della Arcana Famiglia-	魔力家族,Arcana Famiglia,アルカナ・ファミリア,圣灵家族
公立海老栖川高校天闷部	えびてん 公立海老栖川高校天悶部	公立海老栖川高中天文社,虾掰天文社,えびてん,公立海老栖川高校天悶部
希望宅邸3D 第一季		ゆるめいつ 3でぃ,希望宅邸
希望宅邸3D  第二季		ゆるめいつ3でぃPLUS
Fate/Zero 第二季	Fate/Zero	FateZero,FATE ZERO,FZ,F/Z
坂道上的阿波罗	坂道のアポロン	坂道のアポロン,坂道上的阿波罗
钓球	つり球	つり球,钓球
一起一起这里那里		あっちこっち
黄昏少女×失忆	黄昏乙女×アムネジア	黄昏乙女×アムネジア,黄昏少女×失忆
夏色奇迹	夏色キセキ	夏色キセキ,夏色奇迹
鲁邦三世 -名为峰不二子的女人-	LUPIN the Third ～峰不二子という女～	鲁邦三世,鲁邦三世～名为峰不二子的女人～,LUPIN the Third ～峰不二子という女～,鲁邦三世 名为峰不二子的女人,峰不二子という女
银河KICK OFF！！	銀河へキックオフ！！	銀河へキックオフ!!,银河KICK OFF！！,向银河开球
交响诗篇 第一季	交響詩篇エウレカセブン	交響詩篇エウレカセブン,エウレカセブンAO
交响诗篇 AO	エウレカセブンAO	交響詩篇エウレカセブン,エウレカセブンAO,交响诗篇
ZETMAN 超魔人	ZETMAN	超魔人,ZETMAN
枪械少女	うぽって!!	UPPOTE,うぽって
战国Collection 		战国大乱斗,戦国コレクション,brainsbase
翡翠森林狼与羊		暴风雨之夜
光明之心 ～幸福的面包～	シャイニング・ハーツ ～幸せのパン～	面包之心,幸福的面包,光明之心,シャイニング・ハーツ ～幸せ
柴犬子	しばいぬ子さん	柴犬子
圣斗士星矢 THE LOST CANVAS 冥王神话	聖闘士星矢 THE LOST CANVAS 冥王神話	圣斗士,冥王神话,聖闘士星矢,THE LOST CANVAS,ザロストキャンバス,圣斗士星矢 冥王神话
小恐龙阿贡		小恐龙阿冈,GON -ゴン-,龙吼GON
金属对决 战斗陀螺 ZERO G		
MINUSCULE ～小昆虫的故事～		
妖狐×仆SS	妖狐×僕SS	妖狐x仆
在盛夏等待	あの夏で待ってる	あの夏で待ってる,相约彼夏,在那个夏天等待
圣诞之吻SS	アマガミSS	アマガミ,圣诞之吻SS,圣诞之吻SS＋PLUS,甜蜜吻痕
圣诞之吻SS+ plus	アマガミSS+ plus	アマガミ,圣诞之吻SS,圣诞之吻SS＋PLUS,甜蜜吻痕
暴力宇宙海贼	モーレツ宇宙海賊	暴力宇宙海贼,モーレツ宇宙海賊,迷你裙宇宙海贼
零之使魔	ゼロの使い魔	ゼロの使い魔,零之使魔
零之使魔 双月骑士	ゼロの使い魔 双月の騎士,	零之使魔 双月的骑士,ゼロの使い魔 双月の騎士
零之使魔 三美姬的轮舞	ゼロの使い魔 ～三美姫の輪舞～	零之使魔 三美姬的轮舞,ゼロの使い魔 ～三美姫の輪舞～
零之使魔F	ゼロの使い魔F	ゼロの使い魔,ゼロの使い魔F,零之使魔F
BRAVE10 真田十勇士	BRAVE10	BRAVE10,ブレイブテン,真田十勇士
罗马浴场	テルマエ・ロマエ	罗马浴场,テルマエ・ロマエ
足球骑士	エリアの騎士	足球骑士
极乐院女子高寮物语	ゴクジョッ。～極楽院女子高寮物語～	極樂院女子高寮物语,极乐院女子高寮物语
武装中学生	武装中学生 バスケットアーミー	バスケットアーミー,武装中学生
OZUMA		オズマ
我们仍未知道那天所看见的花的名字。	あの日見た花の名前を僕達はまだ知らない。	那朵花,未闻花名,我们仍未知道那天所看见的花的名字
命运石之门	Steins;Gate	命运石之门,シュタインズ・ゲート,Steins Gate,石头门
笨蛋，测验，召唤兽	バカとテストと召喚獣	バカとテストと召唤獣,笨蛋测试召唤兽
笨蛋，测验，召唤兽2	バカとテストと召喚獣にっ!	バカとテストと召唤獣,笨蛋测试召唤兽
日常	日常	
花开伊吕波	花咲くいろは	花开物语,花咲くいろは
电波女与青春男	電波女と青春男	電波女と青春男,电波女&青春男
迷茫管家与懦弱的我	まよチキ！	まよチキ!～迷える执事とチキンな俺と～
回转企鹅罐	輪るピングドラム	回转企鹅罐,生存战略,回转QQ罐,輪るピングドラム,企鹅罐,brain'sbase
GOSICK	GOSICK -ゴシック-	GOSICK,哥特侦探,ゴシック
好想告诉你 第一季	君に届け	
好想告诉你 第二季	君に届け 2ND SEASON	
青之驱魔师	青の祓魔師	青の祓魔师,蓝色除魔师,AO NO EXORCIST,青之驱魔师
丹特丽安的书架	ダンタリアンの書架	丹特丽安的书架,ダンタリアンの書架
[C]THE MONEY OF SOUL AND POSSIBILITY CONTROL	C	[C],C,未来钱式,CONTROL,「C」, シー
便·当	ベン・トー	便当,ベン・トー
食梦者玛利	夢喰いメリー	梦喰いメリー,食梦者玛莉,玛丽连梦露
迷糊餐厅 WORKING!!	WORKING!!	WORKING!!,无聊西餐厅,迷糊餐厅
迷糊餐厅 WORKING’!!	WORKING’!!	WORKING!!,无聊西餐厅,WORKING'!!,迷糊餐厅
纯白交响曲	ましろ色シンフォニー -The color of lovers-	ましろ色シンフォニー，纯白交响曲
UN-GO 	UN-GO	因果,UN-GO 
UN-GO 日记短片		因果
UN-GO episode: 0 因果论	UN-GO episode:0 因果論	因果,UN-GO 剧场版,UN-GO episode: 0 因果论
世界第一初恋 第一季	世界一初恋	世界一初恋,世界第一的初恋,せかいいちばんはつこい
世界第一初恋 第二季	世界一初恋2	世界一初恋,世界第一的初恋,せかいいちばんはつこい
世界第一初恋〜横泽隆史的场合〜	世界一初恋〜横澤隆史の場合〜	世界一初恋,世界第一的初恋,せかいいちばんはつこい
请认真和我恋爱！！	真剣で私に恋しなさい！！	请认真和我恋爱,真剣で私に恋しなさい,真剑恋
最终流放-银翼的飞梦-	ラストエグザイル-銀翼のファム-	LAST EXILE,ラストエグザイル-银翼のファム
全职猎人	HUNTER×HUNTER	猎人,HUNTERXHUNTER,ハンター×ハンター,全职猎人
无口的森田小姐 第二季		森田さんは无口
魔法小恶魔！		魔法小恶魔
战国☆天堂 -极-		戦国☆パラダイス-極-
白兔糖	うさぎドロップ	うさぎドロップ
白兔糖 特典	うさぎドロップ	うさぎドロップ
神的记事本	神様のメモ帳	神様のメモ帐,神的記事本
神样DOLLS	神様ドォルズ	神様ドォルズ,brainsbase
滑头鬼之孙	ぬらりひょんの孫	滑头鬼,滑头鬼之孙,ぬらりひょんの孫
滑头鬼之孙～千年魔京～	ぬらりひょんの孫～千年魔京～	滑头鬼,滑头鬼之孙～千年魔京～
SACRED SEVEN	セイクリッドセブン	七合圣石战记,SACRED7,SACRED SEVEN
